PIVOT TABLE 1 — National Performance Overview,,,,,,,
TANDA TPS UNIT 5,"2,640.00","23,760",0.1111111111,0,36,,
BARH STPS UNIT 5,"2,640.00","13,860",0.1904761905,0,21,,
FARAKKA STPS UNIT 2,"2,600.00","13,800",0.1884057971,0,69,,
TANDA TPS UNIT 4,"2,530.00","6,160",0.4107142857,0,56,,
VINDHYACHAL STPS UNIT 9,"2,500.00","31,500",0.07936507937,0,63,,
VINDHYACHAL STPS UNIT 12,"2,500.00","28,500",0.08771929825,0,57,,
TALCHER STPS UNIT 5,"2,500.00","29,000",0.08620689655,0,58,,
TALCHER STPS UNIT 3,"2,500.00","27,000",0.09259259259,0,54,,
SIMHADRI UNIT 3,"2,500.00","24,000",0.1041666667,0,48,,
RAMAGUNDEM STPS UNIT 4,"2,500.00","26,500",0.09433962264,0,53,,
FARAKKA STPS UNIT 4,"2,500.00","27,500",0.09090909091,0,55,,
UNCHAHAR TPS UNIT 1,"2,310.00","9,870",0.2340425532,0,47,,
FARAKKA STPS UNIT 3,"2,200.00","13,600",0.1617647059,0,68,,
TANDA TPS UNIT 1,"2,090.00","6,820",0.3064516129,0,62,,
VINDHYACHAL STPS UNIT 13,"2,000.00","33,500",0.05970149254,0,67,,
SIMHADRI UNIT 1,"2,000.00","28,000",0.07142857143,0,56,,
RIHAND STPS UNIT 3,"2,000.00","24,000",0.08333333333,0,48,,
RIHAND STPS UNIT 2,"2,000.00","30,500",0.06557377049,0,61,,
KORBA STPS UNIT 5,"2,000.00","30,500",0.06557377049,0,61,,
TANDA TPS UNIT 3,"1,980.00","6,270",0.3157894737,0,57,,
SIPAT STPS UNIT 1,"1,980.00","28,380",0.06976744186,0,43,,
BARH II UNIT 5,"1,980.00","14,520",0.1363636364,0,22,,
FARAKKA STPS UNIT 1,"1,800.00","11,800",0.1525423729,0,59,,
VINDHYACHAL STPS UNIT 3,"1,680.00","10,500",0.16,0,50,,
UNCHAHAR TPS UNIT 2,"1,680.00","10,080",0.1666666667,0,48,,
TALCHER (OLD) TPS UNIT 5,"1,540.00","3,850",0.4,0,35,,
TALCHER STPS UNIT 6,"1,500.00","31,500",0.04761904762,0,63,,
SIPAT STPS UNIT 5,"1,500.00","37,000",0.04054054054,1,74,,
RIHAND STPS UNIT 6,"1,500.00","36,000",0.04166666667,0,72,,
RIHAND STPS UNIT 1,"1,500.00","27,000",0.05555555556,0,54,,
RAMAGUNDEM STPS UNIT 7,"1,500.00","31,500",0.04761904762,0,63,,
KORBA STPS UNIT 7,"1,500.00","32,500",0.04615384615,0,65,,
KORBA STPS UNIT 6,"1,500.00","32,000",0.046875,0,64,,
KORBA STPS UNIT 4,"1,500.00","27,000",0.05555555556,0,54,,
KAHALGAON TPS UNIT 4,"1,470.00","11,340",0.1296296296,0,54,,
SINGRAULI STPS UNIT 3,"1,400.00","13,800",0.1014492754,0,69,,
NORTH KARANPURA TPP UNIT 1,"1,320.00","15,180",0.08695652174,0,23,,
BARH I UNIT 1,"1,320.00","3,300",0.4,0,5,,
VINDHYACHAL STPS UNIT 6,"1,260.00","11,130",0.1132075472,0,53,,
VINDHYACHAL STPS UNIT 2,"1,260.00","14,910",0.08450704225,0,71,,
UNCHAHAR TPS UNIT 4,"1,260.00","14,490",0.08695652174,0,69,,
KAHALGAON TPS UNIT 3,"1,260.00","11,970",0.1052631579,0,57,,
KAHALGAON TPS UNIT 2,"1,260.00","16,170",0.07792207792,0,77,,
BONGAIGAON TPP UNIT 2,"1,250.00","15,500",0.08064516129,0,62,,
SINGRAULI STPS UNIT 1,"1,200.00","14,200",0.08450704225,0,71,,
RAMAGUNDEM STPS UNIT 1,"1,200.00","9,800",0.1224489796,0,49,,
SINGRAULI STPS UNIT 5,"1,000.00","12,000",0.08333333333,0,60,,
RIHAND STPS UNIT 5,"1,000.00","32,000",0.03125,1,64,,
RAMAGUNDEM STPS UNIT 5,"1,000.00","24,500",0.04081632653,0,49,,
RAMAGUNDEM STPS UNIT 2,"1,000.00","15,000",0.06666666667,0,72,,
KORBA STPS UNIT 3,"1,000.00","11,200",0.08928571429,0,56,,
BADARPUR TPS UNIT 3,950.00,950,1,0,10,,
VINDHYACHAL STPS UNIT 4,840.00,"9,870",0.08510638298,0,47,,
UNCHAHAR TPS UNIT 3,840.00,"11,340",0.07407407407,0,54,,
TELANGANA STPP PH-1 UNIT 2,800.00,"16,000",0.05,0,20,,
TELANGANA STPP PH-1 UNIT 1,800.00,"11,200",0.07142857143,0,14,,
RAMAGUNDEM STPS UNIT 3,800.00,"10,400",0.07692307692,0,52,,
DARLIPALI STPS UNIT 2,800.00,"25,600",0.03125,2,32,,
BADARPUR TPS UNIT 1,760.00,760,1,0,8,,
BONGAIGAON TPP UNIT 3,750.00,"10,750",0.06976744186,0,43,,
BARH STPS UNIT 3,660.00,"3,960",0.1666666667,0,6,,
VINDHYACHAL STPS UNIT 5,630.00,"12,600",0.05,0,60,,
VINDHYACHAL STPS UNIT 1,630.00,"10,080",0.0625,0,48,,
BADARPUR TPS UNIT 4,630.00,840,0.75,0,4,,
KORBA STPS UNIT 2,600.00,"12,400",0.04838709677,0,62,,
KORBA STPS UNIT 1,600.00,"9,800",0.0612244898,0,49,,
BONGAIGAON TPP UNIT 1,500.00,"15,500",0.03225806452,0,62,,
UNCHAHAR TPS UNIT 5,420.00,"12,810",0.03278688525,0,61,,
TALCHER (OLD) TPS UNIT 4,420.00,"1,860",0.2258064516,0,31,,
TALCHER (OLD) TPS UNIT 3,420.00,"1,680",0.25,0,28,,
KAHALGAON TPS UNIT 1,420.00,"10,920",0.03846153846,0,52,,
BADARPUR TPS UNIT 5,420.00,"1,050",0.4,0,5,,
SINGRAULI STPS UNIT 4,400.00,"11,600",0.03448275862,0,58,,
BADARPUR TPS UNIT 2,380.00,380,1,0,4,,
TALCHER (OLD) TPS UNIT 6,330.00,"2,420",0.1363636364,0,22,,
TALCHER (OLD) TPS UNIT 1,120.00,"1,380",0.08695652174,0,23,,
TANDA TPS UNIT 6,0.00,"20,460",0,2,31,,
TALCHER (OLD) TPS UNIT 2,0.00,"1,740",0,0,29,,
SINGRAULI STPS UNIT 2,0.00,"13,000",0,0,65,,
NORTH KARANPURA TPP UNIT 3,0.00,"3,300",0,0,5,,
NORTH KARANPURA TPP UNIT 2,0.00,"6,600",0,0,10,,
BARH STPS UNIT 4,0.00,"19,800",0,0,30,,
,,,,,,,
,,,,,,,
PIVOT 4 — Coal vs Performance,,,,,,,
,,,,,,,
,,,,,,,
Station_Clean,AVERAGE of Coal Stock,SUM of Power generation under todays actual,SUM of Monitored,Capacity Factor %,,,
ANTA CCPP,0.00,53.11,"26,837",0.20%,,,
AURAIYA CCPP,0.00,137.62,"39,802",0.35%,,,
BADARPUR TPS UNIT 1,0.00,0.00,760,0.00%,,,
BADARPUR TPS UNIT 2,0.00,0.00,380,0.00%,,,
BADARPUR TPS UNIT 3,0.00,0.00,950,0.00%,,,
BADARPUR TPS UNIT 4,0.00,3.82,840,0.45%,,,
BADARPUR TPS UNIT 5,0.00,12.10,"1,050",1.15%,,,
BARAUNI TPS UNIT 6,9.03,6.48,"3,570",0.18%,,,
BARAUNI TPS UNIT 7,12.47,3.06,"5,355",0.06%,,,
BARAUNI TPS UNIT 8,14.46,232.54,"14,250",1.63%,,,
BARAUNI TPS UNIT 9,15.63,102.04,"10,250",1.00%,,,
BARH I UNIT 1,0.00,41.21,"3,300",1.25%,,,
BARH II UNIT 4,19.50,410.62,"23,760",1.73%,,,
BARH II UNIT 5,18.59,250.33,"14,520",1.72%,,,
BARH STPS UNIT 1,17.31,228.73,"17,160",1.33%,,,
BARH STPS UNIT 2,17.40,255.37,"16,500",1.55%,,,
BARH STPS UNIT 3,18.67,58.14,"3,960",1.47%,,,
BARH STPS UNIT 4,16.70,405.29,"19,800",2.05%,,,
BARH STPS UNIT 5,15.29,221.43,"13,860",1.60%,,,
BONGAIGAON TPP UNIT 1,19.89,269.62,"15,500",1.74%,,,
BONGAIGAON TPP UNIT 2,19.44,255.44,"15,500",1.65%,,,
BONGAIGAON TPP UNIT 3,21.44,182.18,"10,750",1.69%,,,
DADRI (NCTPP) UNIT 1,15.45,130.51,"10,710",1.22%,,,
DADRI (NCTPP) UNIT 2,18.66,105.67,"9,240",1.14%,,,
DADRI (NCTPP) UNIT 3,19.69,133.42,"12,810",1.04%,,,
DADRI (NCTPP) UNIT 4,17.79,157.51,"13,020",1.21%,,,
DADRI (NCTPP) UNIT 5,20.61,395.24,"27,440",1.44%,,,
DADRI (NCTPP) UNIT 6,21.13,368.49,"26,460",1.39%,,,
DADRI CCPP,0.00,116.05,"38,170",0.30%,,,
DARLIPALI STPS UNIT 1,13.50,631.70,"33,600",1.88%,,,
DARLIPALI STPS UNIT 2,19.31,531.95,"25,600",2.08%,,,
FARAKKA STPS UNIT 1,12.97,200.69,"11,800",1.70%,,,
FARAKKA STPS UNIT 2,12.29,233.31,"13,800",1.69%,,,
FARAKKA STPS UNIT 3,14.16,224.57,"13,600",1.65%,,,
FARAKKA STPS UNIT 4,11.82,492.98,"27,500",1.79%,,,
FARAKKA STPS UNIT 5,12.25,517.09,"30,000",1.72%,,,
FARAKKA STPS UNIT 6,13.70,605.10,"35,000",1.73%,,,
FARIDABAD CCPP,0.00,63.09,"23,737",0.27%,,,
GADARWARA TPP UNIT 1,18.61,599.33,"40,800",1.47%,,,
GADARWARA TPP UNIT 2,14.95,452.03,"35,200",1.28%,,,
GANDHAR CCPP,0.00,121.00,"38,129",0.32%,,,
KAHALGAON TPS UNIT 1,9.71,214.24,"10,920",1.96%,,,
KAHALGAON TPS UNIT 2,10.77,305.27,"16,170",1.89%,,,
KAHALGAON TPS UNIT 3,10.42,214.24,"11,970",1.79%,,,
KAHALGAON TPS UNIT 4,12.37,200.82,"11,340",1.77%,,,
KAHALGAON TPS UNIT 5,10.60,629.40,"32,500",1.94%,,,
KAHALGAON TPS UNIT 6,11.05,587.28,"31,500",1.86%,,,
KAHALGAON TPS UNIT 7,9.04,642.59,"34,000",1.89%,,,
KAWAS CCPP,0.00,179.41,"41,341",0.43%,,,
KHARGONE STPP UNIT 1,11.11,388.34,"29,040",1.34%,,,
KHARGONE STPP UNIT 2,16.00,308.70,"21,780",1.42%,,,
KOLDAM,0.00,475.12,"41,600",1.14%,,,
KORBA STPS UNIT 1,8.24,214.91,"9,800",2.19%,,,
KORBA STPS UNIT 2,7.13,278.07,"12,400",2.24%,,,
KORBA STPS UNIT 3,7.27,243.15,"11,200",2.17%,,,
KORBA STPS UNIT 4,8.65,587.32,"27,000",2.18%,,,
KORBA STPS UNIT 5,7.51,647.51,"30,500",2.12%,,,
KORBA STPS UNIT 6,8.42,696.22,"32,000",2.18%,,,
KORBA STPS UNIT 7,6.75,700.67,"32,500",2.16%,,,
KUDGI STPP UNIT 1,15.94,567.60,"52,800",1.08%,,,
KUDGI STPP UNIT 2,15.56,391.23,"45,600",0.86%,,,
KUDGI STPP UNIT 3,15.54,436.16,"36,800",1.19%,,,
LARA TPP UNIT 1,10.63,498.75,"40,800",1.22%,,,
LARA TPP UNIT 2,15.49,762.38,"39,200",1.94%,,,
MAUDA TPS UNIT 1,17.15,402.83,"26,500",1.52%,,,
MAUDA TPS UNIT 2,12.64,541.64,"33,000",1.64%,,,
MAUDA TPS UNIT 3,50.21,390.17,"29,700",1.31%,,,
MAUDA TPS UNIT 4,16.23,483.31,"40,920",1.18%,,,
NORTH KARANPURA TPP UNIT 1,19.00,311.34,"15,180",2.05%,,,
NORTH KARANPURA TPP UNIT 2,10.80,142.47,"6,600",2.16%,,,
NORTH KARANPURA TPP UNIT 3,7.40,64.15,"3,300",1.94%,,,
R. GANDHI CCPP (LIQ.),0.00,3.70,"21,934",0.02%,,,
RAMAGUNDEM STPS UNIT 1,13.53,165.86,"9,800",1.69%,,,
RAMAGUNDEM STPS UNIT 2,11.96,277.43,"15,000",1.85%,,,
RAMAGUNDEM STPS UNIT 3,17.65,186.16,"10,400",1.79%,,,
RAMAGUNDEM STPS UNIT 4,13.74,464.46,"26,500",1.75%,,,
RAMAGUNDEM STPS UNIT 5,11.53,453.07,"24,500",1.85%,,,
RAMAGUNDEM STPS UNIT 6,12.51,473.90,"27,500",1.72%,,,
RAMAGUNDEM STPS UNIT 7,10.62,598.81,"31,500",1.90%,,,
RIHAND STPS UNIT 1,13.93,562.72,"27,000",2.08%,,,
RIHAND STPS UNIT 2,15.56,649.66,"30,500",2.13%,,,
RIHAND STPS UNIT 3,14.60,507.85,"24,000",2.12%,,,
RIHAND STPS UNIT 4,15.34,766.57,"38,000",2.02%,,,
RIHAND STPS UNIT 5,14.03,705.59,"32,000",2.20%,,,
RIHAND STPS UNIT 6,15.01,803.04,"36,000",2.23%,,,
SIMHADRI UNIT 1,11.36,466.85,"28,000",1.67%,,,
SIMHADRI UNIT 2,12.81,442.41,"27,000",1.64%,,,
SIMHADRI UNIT 3,15.38,407.86,"24,000",1.70%,,,
SIMHADRI UNIT 4,13.41,472.83,"32,000",1.48%,,,
SINGRAULI STPS UNIT 1,12.62,295.71,"14,200",2.08%,,,
SINGRAULI STPS UNIT 2,11.86,289.66,"13,000",2.23%,,,
SINGRAULI STPS UNIT 3,13.19,288.69,"13,800",2.09%,,,
SINGRAULI STPS UNIT 4,11.48,259.82,"11,600",2.24%,,,
SINGRAULI STPS UNIT 5,10.67,247.25,"12,000",2.06%,,,
SINGRAULI STPS UNIT 6,12.38,649.55,"34,000",1.91%,,,
SINGRAULI STPS UNIT 7,12.03,624.33,"31,000",2.01%,,,
SIPAT STPS UNIT 1,9.67,615.58,"28,380",2.17%,,,
SIPAT STPS UNIT 2,9.94,631.70,"32,340",1.95%,,,
SIPAT STPS UNIT 3,9.81,890.88,"41,580",2.14%,,,
SIPAT STPS UNIT 4,8.22,599.92,"30,000",2.00%,,,
SIPAT STPS UNIT 5,8.66,808.64,"37,000",2.19%,,,
SOLAPUR STPS UNIT 1,18.39,339.25,"27,060",1.25%,,,
SOLAPUR STPS UNIT 2,17.06,319.16,"22,440",1.42%,,,
SOLAPUR UNIT 1,18.74,96.72,"15,180",0.64%,,,
SOLAPUR UNIT 2,42.44,50.21,"11,880",0.42%,,,
TALCHER (OLD) TPS UNIT 1,3.78,29.63,"1,380",2.15%,,,
TALCHER (OLD) TPS UNIT 2,7.31,41.52,"1,740",2.39%,,,
TALCHER (OLD) TPS UNIT 3,8.61,31.17,"1,680",1.86%,,,
TALCHER (OLD) TPS UNIT 4,4.55,34.25,"1,860",1.84%,,,
TALCHER (OLD) TPS UNIT 5,9.31,55.04,"3,850",1.43%,,,
TALCHER (OLD) TPS UNIT 6,5.41,47.52,"2,420",1.96%,,,
TALCHER STPS UNIT 1,8.76,503.80,"27,000",1.87%,,,
TALCHER STPS UNIT 2,9.27,489.32,"25,500",1.92%,,,
TALCHER STPS UNIT 3,8.93,521.73,"27,000",1.93%,,,
TALCHER STPS UNIT 4,10.72,651.11,"32,500",2.00%,,,
TALCHER STPS UNIT 5,10.52,579.17,"29,000",2.00%,,,
TALCHER STPS UNIT 6,10.46,663.98,"31,500",2.11%,,,
TANDA TPS UNIT 1,27.69,86.38,"6,820",1.27%,,,
TANDA TPS UNIT 2,18.62,66.84,"6,710",1.00%,,,
TANDA TPS UNIT 3,22.70,79.57,"6,270",1.27%,,,
TANDA TPS UNIT 4,20.27,65.04,"6,160",1.06%,,,
TANDA TPS UNIT 5,23.64,416.47,"23,760",1.75%,,,
TANDA TPS UNIT 6,17.39,382.55,"20,460",1.87%,,,
TELANGANA STPP PH-1 UNIT 1,16.93,202.93,"11,200",1.81%,,,
TELANGANA STPP PH-1 UNIT 2,22.40,282.47,"16,000",1.77%,,,
UNCHAHAR TPS UNIT 1,15.40,131.20,"9,870",1.33%,,,
UNCHAHAR TPS UNIT 2,14.25,150.30,"10,080",1.49%,,,
UNCHAHAR TPS UNIT 3,15.02,183.85,"11,340",1.62%,,,
UNCHAHAR TPS UNIT 4,15.61,243.42,"14,490",1.68%,,,
UNCHAHAR TPS UNIT 5,9.98,212.66,"12,810",1.66%,,,
UNCHAHAR TPS UNIT 6,13.65,495.06,"35,500",1.39%,,,
VINDHYACHAL STPS UNIT 1,10.04,213.79,"10,080",2.12%,,,
VINDHYACHAL STPS UNIT 10,12.65,528.95,"26,000",2.03%,,,
VINDHYACHAL STPS UNIT 11,12.55,703.24,"34,500",2.04%,,,
VINDHYACHAL STPS UNIT 12,11.98,611.64,"28,500",2.15%,,,
VINDHYACHAL STPS UNIT 13,11.90,711.18,"33,500",2.12%,,,
VINDHYACHAL STPS UNIT 2,11.61,312.33,"14,910",2.09%,,,
VINDHYACHAL STPS UNIT 3,11.74,199.66,"10,500",1.90%,,,
VINDHYACHAL STPS UNIT 4,14.91,201.60,"9,870",2.04%,,,
VINDHYACHAL STPS UNIT 5,12.88,267.19,"12,600",2.12%,,,
VINDHYACHAL STPS UNIT 6,14.91,230.41,"11,130",2.07%,,,
VINDHYACHAL STPS UNIT 7,13.29,705.82,"34,500",2.05%,,,
VINDHYACHAL STPS UNIT 8,12.51,496.44,"24,500",2.03%,,,
VINDHYACHAL STPS UNIT 9,13.57,661.38,"31,500",2.10%,,,
,,,,,,,
,,,,,,,
Pivot table -5,,,,,,,
,,,,,,,
Capacity_Category,SUM of Power generation under todays actual,SUM of Monitored,SUM of Outage,"Capacity_Factor_%
","Outage_%
",,
High Capacity,"13,383.57","704,505","1,148.98",0.01899711459,0.001630903019,,
Low Capacity,"36,237.03","2,328,809","605,988.80",0.01556032559,0.2602140139,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PIVOT 6 — COAL vs PERFORMANCE,,,,,,,
State_Clean,SUM of Coal Stock,SUM of Power generation under todays actual,SUM of Monitored,Capacity_Factor_%,,,
Andhra Pradesh,"2,924.00","1,789.95","111,000",0.01612567568,,,
Assam,"3,360.00",707.24,"41,750",0.01693988024,,,
Bihar,"9,934.00","5,009.08","294,685",0.0169980827,,,
Chhattisgarh,"7,112.00","8,175.70","404,700",0.02020187793,,,
Delhi,0.00,15.92,"3,980",0.004,,,
Gujarat,0.00,300.41,"79,469",0.00378020572,,,
Haryana,0.00,63.09,"23,737",0.002657825504,,,
Himachal Pradesh,0.00,475.12,"41,600",0.01142115385,,,
Jharkhand,582.00,517.96,"25,080",0.0206523126,,,
Karnataka,"2,654.00","1,394.99","135,200",0.01031797337,,,
Kerala,0.00,3.70,"21,934",0.0001686849594,,,
Madhya Pradesh,"12,170.00","7,592.03","408,910",0.01856650608,,,
Maharashtra,"7,537.45","2,623.29","206,680",0.01269251984,,,
Odisha,"5,705.00","4,811.89","244,630",0.01967007317,,,
Rajasthan,0.00,53.11,"26,837",0.001978975389,,,
Telangana,"5,777.00","3,105.09","172,400",0.01801096288,,,
Uttar Pradesh,"28,772.00","10,708.29","659,021",0.01624877235,,,
West Bengal,"4,920.00","2,273.74","131,700",0.01726454062,,,